Company,Item,Calories,"Total Fat
(g)","Saturated Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)",Item Type
Burger King,Crispy Chicken Sandwich,670.00 ,41.00 ,7.00 ,60.00 ,"1,080.00 ",54.00 ,2.00 ,8.00 ,23.00 ,
Burger King,Spicy Crispy Chicken Sandwich,700.00 ,42.00 ,7.00 ,65.00 ,"1,140.00 ",57.00 ,3.00 ,8.00 ,25.00 ,
Burger King,Original Chicken Sandwich,660.00 ,40.00 ,7.00 ,75.00 ,"1,170.00 ",48.00 ,2.00 ,5.00 ,28.00 ,
Burger King,Bacon & Cheese Crispy Chicken Sandwich,800.00 ,52.00 ,13.00 ,95.00 ,"1,650.00 ",55.00 ,2.00 ,8.00 ,30.00 ,
Burger King,BBQ Bacon Crispy Chicken Sandwich,790.00 ,49.00 ,10.00 ,80.00 ,"1,630.00 ",60.00 ,2.00 ,13.00 ,28.00 ,
Burger King,Crispy Chicken Jr.,450.00 ,30.00 ,5.00 ,30.00 ,780.00 ,34.00 ,2.00 ,5.00 ,12.00 ,
Burger King,Spicy Crispy Chicken Jr.,390.00 ,21.00 ,3.50 ,30.00 ,740.00 ,37.00 ,2.00 ,6.00 ,12.00 ,
Burger King,Chicken Nuggets- 4pc,170.00 ,11.00 ,1.50 ,25.00 ,310.00 ,11.00 ,1.00 ,0.00 ,8.00 ,
Burger King,Chicken Nuggets- 6pc,260.00 ,16.00 ,2.50 ,35.00 ,470.00 ,16.00 ,1.00 ,0.00 ,12.00 ,
Burger King,Chicken Nuggets- 10pc,430.00 ,27.00 ,4.50 ,55.00 ,780.00 ,27.00 ,2.00 ,0.00 ,20.00 ,
Burger King,Chicken Nuggets- 20pc,860.00 ,54.00 ,9.00 ,115.00 ,"1,570.00 ",53.00 ,3.00 ,1.00 ,39.00 ,
Burger King,Spicy Chicken Nuggets- 4pc,210.00 ,15.00 ,3.00 ,20.00 ,570.00 ,11.00 ,2.00 ,0.00 ,8.00 ,
Burger King,Spicy Chicken Nuggets- 6pc,320.00 ,22.00 ,4.50 ,35.00 ,850.00 ,17.00 ,3.00 ,0.00 ,12.00 ,
Burger King,Spicy Chicken Nuggets- 10 pc,530.00 ,37.00 ,7.00 ,55.00 ,"1,420.00 ",28.00 ,4.00 ,1.00 ,20.00 ,
Burger King,Spicy Chicken Nuggets- 20 pc,"1,050.00 ",74.00 ,15.00 ,110.00 ,"2,840.00 ",56.00 ,9.00 ,1.00 ,40.00 ,
Burger King,Chicken Fries – 9 pc.,280.00 ,17.00 ,2.50 ,35.00 ,850.00 ,20.00 ,1.00 ,1.00 ,13.00 ,
Burger King,Crispy Taco,170.00 ,9.00 ,3.00 ,10.00 ,410.00 ,19.00 ,2.00 ,1.00 ,5.00 ,
Burger King,BIG FISH Sandwich,510.00 ,28.00 ,4.50 ,30.00 ,"1,180.00 ",51.00 ,2.00 ,7.00 ,16.00 ,
Burger King,Garden Chicken Salad with Crispy Chicken – no dressing,440.00 ,25.00 ,7.00 ,75.00 ,930.00 ,31.00 ,3.00 ,4.00 ,25.00 ,
Burger King,Club Salad with Crispy Chicken – no dressing,540.00 ,33.00 ,10.00 ,95.00 ,"1,380.00 ",31.00 ,3.00 ,5.00 ,31.00 ,
Burger King,Garden Side Salad – w/o dressing,60.00 ,4.00 ,2.50 ,10.00 ,95.00 ,3.00 ,1.00 ,2.00 ,4.00 ,S
Burger King,Onion Rings – value,150.00 ,8.00 ,1.50 ,0.00 ,400.00 ,19.00 ,1.00 ,2.00 ,1.00 ,S
Burger King,Onion Rings – small,320.00 ,16.00 ,3.00 ,0.00 ,840.00 ,41.00 ,3.00 ,4.00 ,3.00 ,S
Burger King,Onion Rings – medium,410.00 ,21.00 ,3.50 ,0.00 ,"1,080.00 ",53.00 ,4.00 ,5.00 ,4.00 ,S
Burger King,Onion Rings – large,500.00 ,25.00 ,4.50 ,0.00 ,"1,310.00 ",64.00 ,5.00 ,7.00 ,5.00 ,S
Burger King,French Fries – value (unsalted),220.00 ,9.00 ,1.50 ,0.00 ,210.00 ,34.00 ,3.00 ,1.00 ,2.00 ,S
Burger King,French Fries – small,320.00 ,13.00 ,2.00 ,0.00 ,300.00 ,49.00 ,5.00 ,1.00 ,4.00 ,S
Burger King,French Fries – medium,380.00 ,16.00 ,2.00 ,0.00 ,360.00 ,58.00 ,6.00 ,1.00 ,4.00 ,S
Burger King,French Fries – large,430.00 ,18.00 ,2.50 ,0.00 ,410.00 ,66.00 ,7.00 ,2.00 ,5.00 ,S
Burger King,Kids Oatmeal,170.00 ,3.00 ,1.50 ,5.00 ,260.00 ,32.00 ,3.00 ,12.00 ,4.00 ,B
Burger King,Chicken Nuggets- 4pc,170.00 ,11.00 ,1.50 ,25.00 ,310.00 ,11.00 ,1.00 ,0.00 ,8.00 ,
Burger King,Chicken Nuggets- 6pc,260.00 ,16.00 ,2.50 ,35.00 ,470.00 ,16.00 ,1.00 ,0.00 ,12.00 ,
Burger King,Hamburger,240.00 ,10.00 ,3.50 ,35.00 ,380.00 ,26.00 ,1.00 ,6.00 ,13.00 ,
Burger King,Cheeseburger,280.00 ,13.00 ,6.00 ,45.00 ,560.00 ,27.00 ,1.00 ,7.00 ,15.00 ,
Burger King,CROISSAN’WICH® Egg & Cheese,340.00 ,18.00 ,8.00 ,160.00 ,610.00 ,29.00 ,1.00 ,4.00 ,12.00 ,B
Burger King,"CROISSAN’WICH® Sausage, Egg & Cheese",500.00 ,33.00 ,13.00 ,195.00 ,930.00 ,30.00 ,1.00 ,4.00 ,19.00 ,B
Burger King,"CROISSAN’WICH® Ham, Egg & Cheese",370.00 ,19.00 ,8.00 ,175.00 ,"1,030.00 ",30.00 ,1.00 ,5.00 ,17.00 ,B
Burger King,"CROISSAN’WICH® Bacon, Egg & Cheese",370.00 ,21.00 ,9.00 ,170.00 ,760.00 ,30.00 ,1.00 ,4.00 ,14.00 ,B
Burger King,Fully Loaded CROISSAN’WICH®,610.00 ,40.00 ,17.00 ,225.00 ,"1,680.00 ",31.00 ,1.00 ,5.00 ,28.00 ,B
Burger King,Double CROISSAN’WICH® with Sausage & Bacon,580.00 ,40.00 ,16.00 ,215.00 ,"1,260.00 ",31.00 ,1.00 ,5.00 ,23.00 ,B
Burger King,Double CROISSAN’WICH® with Sausage,710.00 ,52.00 ,20.00 ,240.00 ,"1,420.00 ",31.00 ,1.00 ,5.00 ,29.00 ,B
Burger King,Double CROISSAN’WICH® with Ham & Sausage,580.00 ,38.00 ,16.00 ,220.00 ,"1,530.00 ",31.00 ,1.00 ,5.00 ,27.00 ,B
Burger King,Fully Loaded Biscuit,640.00 ,45.00 ,20.00 ,225.00 ,"2,190.00 ",31.00 ,1.00 ,4.00 ,28.00 ,B
Burger King,"Ham, Egg, & Cheese Biscuit",400.00 ,24.00 ,12.00 ,175.00 ,"1,550.00 ",29.00 ,1.00 ,3.00 ,17.00 ,B
Burger King,"Sausage, Egg, & Cheese Biscuit",530.00 ,38.00 ,17.00 ,195.00 ,"1,440.00 ",29.00 ,1.00 ,3.00 ,19.00 ,B
Burger King,"Bacon, Egg & Cheese Biscuit",400.00 ,26.00 ,13.00 ,170.00 ,"1,270.00 ",29.00 ,1.00 ,3.00 ,13.00 ,B
Burger King,Sausage Biscuit,420.00 ,28.00 ,6.00 ,35.00 ,"1,050.00 ",28.00 ,1.00 ,2.00 ,12.00 ,B
Burger King,Breakfast Burrito Jr.,370.00 ,23.00 ,8.00 ,150.00 ,930.00 ,27.00 ,3.00 ,2.00 ,15.00 ,B
Burger King,EGG-NORMOUS BURRITOΡ,780.00 ,42.00 ,15.00 ,355.00 ,"1,960.00 ",68.00 ,3.00 ,4.00 ,32.00 ,B
Burger King,BK™ Ultimate Breakfast Platter,930.00 ,44.00 ,11.00 ,390.00 ,"2,230.00 ",110.00 ,4.00 ,40.00 ,24.00 ,B
Burger King,NY Ultimate Platter (Regional menu item),900.00 ,46.00 ,12.00 ,380.00 ,"1,760.00 ",95.00 ,5.00 ,31.00 ,25.00 ,B
Burger King,Pancake and Sausage platter,610.00 ,31.00 ,9.00 ,80.00 ,"1,010.00 ",72.00 ,1.00 ,30.00 ,12.00 ,B
Burger King,Hash Browns – small,250.00 ,16.00 ,3.50 ,0.00 ,580.00 ,24.00 ,3.00 ,0.00 ,2.00 ,BS
Burger King,Hash Browns – medium,500.00 ,33.00 ,7.00 ,0.00 ,"1,140.00 ",48.00 ,7.00 ,0.00 ,4.00 ,BS
Burger King,Hash Browns – large,670.00 ,44.00 ,9.00 ,0.00 ,"1,530.00 ",65.00 ,9.00 ,0.00 ,5.00 ,BS
Burger King,French Toast Sticks (3 piece),230.00 ,11.00 ,2.00 ,0.00 ,260.00 ,29.00 ,1.00 ,8.00 ,3.00 ,B
Burger King,French Toast Sticks (5 piece),380.00 ,18.00 ,3.00 ,0.00 ,430.00 ,49.00 ,2.00 ,13.00 ,5.00 ,B
Wendy’s,Baconator,950.00 ,62.00 ,24.00 ,205.00 ,"1,630.00 ",40.00 ,2.00 ,8.00 ,59.00 ,
Wendy’s,Dave’s Double,810.00 ,51.00 ,20.00 ,175.00 ,"1,280.00 ",41.00 ,3.00 ,8.00 ,49.00 ,
Wendy’s,Dave’s Single,570.00 ,34.00 ,13.00 ,100.00 ,"1,110.00 ",40.00 ,3.00 ,9.00 ,30.00 ,
Wendy’s,Dave’s Triple,"1,090.00 ",72.00 ,30.00 ,260.00 ,"1,650.00 ",43.00 ,3.00 ,9.00 ,71.00 ,
Wendy’s,Double Stack,390.00 ,21.00 ,9.00 ,90.00 ,740.00 ,26.00 ,1.00 ,6.00 ,25.00 ,
Wendy’s,Jr. Bacon Cheeseburger,380.00 ,22.00 ,8.00 ,65.00 ,680.00 ,25.00 ,1.00 ,5.00 ,19.00 ,
Wendy’s,Jr. Cheeseburger,280.00 ,13.00 ,6.00 ,50.00 ,660.00 ,26.00 ,1.00 ,6.00 ,16.00 ,
Wendy’s,Jr. Cheeseburger Deluxe,340.00 ,19.00 ,7.00 ,55.00 ,660.00 ,27.00 ,2.00 ,7.00 ,16.00 ,
