Meal Names,Calories,Total Fat,Saturated Fat,Cholesterol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal",1585.0,78.0,29.5,210.0,69.0,145.0,2190.0,15.0,35.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1975.0,81.5,16.0,75.0,62.0,254.0,2115.0,33.0,26.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, McDonald’s - English Muffin",1650.0,65.5,8.5,235.0,82.0,188.0,2170.0,19.0,9.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, Pizza Hut - Pan Pizza Slices Beyond Meat® Pepperoni Large, Wendy’s - Seasoned Home-Style Potatoes, Small",1600.0,65.5,11.5,105.0,56.0,198.0,2290.0,25.0,5.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Guacomole - Top, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1555.0,79.0,12.0,200.0,65.0,144.0,2245.0,23.0,20.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, McDonald’s - Mac Snack Wrap",1795.0,75.0,16.5,180.0,67.0,221.0,1895.0,20.0,23.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal",1565.0,80.0,28.0,200.0,72.0,146.0,2040.0,22.0,34.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top",1500.0,75.5,17.5,235.0,75.0,129.0,2250.0,12.0,19.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side, KFC - KENTUCKY FRIED WINGS Buffalo, McDonald’s - Sausage Biscuit (Regular Size Biscuit)",1580.0,76.5,18.0,175.0,66.0,160.0,2300.0,20.0,4.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, McDonald’s - English Muffin",1675.0,60.0,8.5,190.0,86.0,206.0,2240.0,26.0,9.0
