Combinations,Calories,Total Fat,Saturated Fat,Cholestorol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side",945.0,39.0,3.5,80.0,35.0,115.0,1200.0,11.0,1.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro",660.0,22.5,7.5,65.0,39.0,71.0,1260.0,11.0,1.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top",640.0,21.5,10.5,155.0,49.0,65.0,1120.0,9.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top",495.0,11.5,3.0,80.0,33.0,63.0,890.0,11.0,1.0
"Chipotle - Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top",720.0,39.0,11.0,170.0,44.0,44.0,1440.0,2.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side",1060.0,37.5,3.5,125.0,51.0,135.0,1260.0,15.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Cheese - Top",600.0,21.5,3.5,110.0,39.0,60.0,920.0,10.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top",355.0,19.0,2.5,0.0,11.0,39.0,560.0,7.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Tomatillo-Green Chili Salsa - Top",455.0,13.5,3.5,80.0,28.0,57.0,1110.0,6.0,6.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top",740.0,38.0,14.5,225.0,48.0,49.0,1180.0,1.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",450.0,16.5,3.5,80.0,28.0,51.0,810.0,8.0,6.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top",540.0,29.0,8.0,95.0,33.0,35.0,790.0,4.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Tomatillo-Red Chili Salsa - Top",435.0,11.0,3.5,125.0,36.0,48.0,1420.0,2.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Side) - Top",620.0,34.0,10.0,185.0,45.0,36.0,800.0,3.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top",585.0,29.0,13.0,105.0,32.0,46.0,1220.0,2.0,4.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",615.0,24.0,3.5,155.0,46.0,52.0,1100.0,4.0,0.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top",550.0,20.5,8.0,120.0,30.0,59.0,1040.0,5.0,6.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Cheese - Top",555.0,26.0,8.0,95.0,33.0,41.0,1380.0,3.0,1.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Chips regular - Side",1050.0,37.5,3.0,65.0,43.0,137.0,1480.0,16.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips regular - Side",935.0,41.0,4.0,125.0,42.0,106.0,960.0,10.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro",490.0,13.5,3.5,80.0,33.0,59.0,730.0,10.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Queso Blanco (Side) - Top",615.0,28.0,9.0,140.0,35.0,52.0,1430.0,2.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top",550.0,24.0,8.5,105.0,34.0,49.0,1190.0,4.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro",550.0,15.5,3.5,80.0,37.0,67.0,1170.0,12.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Queso Blanco (Side) - Top",720.0,39.0,16.5,170.0,40.0,48.0,1260.0,3.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Guacomole - Top, Chipotle - Romaine Lettuce - Top",845.0,60.0,7.5,125.0,39.0,46.0,1050.0,16.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top",550.0,26.5,7.5,40.0,17.0,63.0,1110.0,8.0,11.0
"Chipotle - Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Fresh Tomato Salsa - Top",485.0,20.0,8.0,65.0,30.0,44.0,1480.0,3.0,1.0
"Chipotle - Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",515.0,26.0,2.5,30.0,21.0,51.0,1230.0,6.0,5.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top",540.0,23.0,10.5,110.0,34.0,50.0,1210.0,4.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top",790.0,54.0,18.0,140.0,36.0,40.0,1140.0,9.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro",570.0,19.5,8.0,65.0,36.0,63.0,1000.0,10.0,4.0
